,뉴스제목,주가변동
0,"'잡스의 샌들' 버켄스탁, 9월 IPO 추진...시총 80억달러 규모",0
1,한달간 최대 101% 급등… 다시 ‘AI주’의 시간 오나,0
2,대기업 상반기 시총 350兆 증가… 삼성그룹 증가분 98兆 1위 [증시 변동성 올 최고],0
3,"미 공화 대권주자 디샌티스 ""中과 정상교역관계 끊어야""",0
4,"檢, 'SG 사태 대주주 폭락 연루 의혹' 들여다본다",0
5,'롤렉스 침체' 미 연준 고금리에 명품 시계 시장 급락,0
6,"뉴욕증시, 5개월 연속 상승...유가, 석달 만에 최고",0
7,"[fn오전시황] 코스피, 개인 매수에 오름세",0
8,러 모스크바 번화가에 또다시 드론 공격…정부 부처 건물 손상,0
9,"[fn마켓워치]IMM자산운용, 일반 사모펀드 운용사로..대표에 김현정",0
10,檢 'SG사태' 김익래·김영민 수사 속도,0
11,"오스템임플란트, 14일 코스닥 상장폐지",0
12,돌고 돌아 다시 'AI'...수급 쏠림 재점화,0
13,"[특징주] STX중공업, HD한국조선해양이 품는다...상한가 직행",0
14,7월  무역수지 2개월 연속 흑자....수출·수입 모두 감소(종합),0
15,"‘따따블’ 안 나오는 공모주… ""시장 안정화 찾는중""",0
16,檢 'SG사태' 김익래·김영민 수사 속도,0
17,"더블유씨피, 목표주가 7만→11만-KB",0
18,2차전지發 7월 증시 변동성 최고… 한달간 VI 4800회 발동 [증시 변동성 올 최고],0
19,올해 개인투자자가 가장 많이 산 반도체 ETF는?,0
20,"대신證, 신용이자 이어 국내·美주식 거래수수료 ‘無’",0
21,"빅텐츠, 8월 코스닥 상장... “글로벌 콘텐츠 기업 도약할 것“",0
22,"[특징주] 네이버, 전날 7% 급등 이어... 4%대 강세",0
23,"가계부채 강도높게 경고한 금통위 ""필요하면 추가 금리인상"" [가계대출 곳곳서 '경고음']",0
24,"HLB테라퓨틱스, 교모세포종 임상2상 '완전관해' 탁월한 항암효과 입증",0
25,"'따따블' 안 나오는 새내기주...""시장 침체? 안정화되는 중""",0
26,‘제2의 라임’ 뿌리뽑는다…사모운용사에 ‘원스트라이크 아웃제’,0
27,"기후위기보다 에너지 자립...영, 대규모 북해 석유·가스 시추 허용",0
28,올 개미들이 가장 많이 산 반도체ETF는?,0
29,"네이버, 최근 주가 급등 정당해... 생성 AI 통한 이익 성장 기대-다올",0
30,"시카고 Fed 총재, 연준 9월에 모든 가능성 열려",0
31,"LB세미콘, 진성리텍 인수... ""폐배터리 재생 시장 진출""",0
32,"전산오류 코스콤, 검사 사각지대 놓여있다",0
33,"성안, 美희토류 광산업체 'MP머티리얼즈'와 구매계약",0
34,수입이 더 줄었다... 불황형 무역 흑자,0
35,"[fn마켓워치]스틱, 김앤장 출신 이준호 변호사 영입",0
36,2차전지발 급등락에... 7월 변동성 올해 최고치 찍었다,0
37,"이글루, 수출 증가로 밸류에이션 상승 기대-FS리서치",0
38,"CJ제일제당, 中 '지상쥐' 매각 긍정적-하나",0
39,"""강남 큰손들 주식·벤처투자에 관심… 하반기 반도체·AI 유망"" [머니웨이브, 리더에게 듣는다]",0
40,"미 공화 주요 후원자들, 트럼프 막는데 올인",0
41,"우버, 사상 첫 흑자 달성...주가는 급락",0
42,"중견기업 순고용 증가율, 대기업 앞질러",0
43,"이녹스첨단소재, 목표주가 5만→6만-IBK",0
44,공공기관 복리후생비 인당 188만원...11.4%는 지침 벗어나,0
45,"올 중견기업 순고용 증가율, 대기업 앞질렀다",0
46,2차전지 순환매 장세… 에코프로·포스코 다음은,0
47,"미 피닉스, 31일 연속 43℃ 돌파...이란은 폭염에 공휴일 선포",0
48,초전도체 테마주 ‘광풍’ 7개 종목 줄줄이 상한가,0
49,"[특징주] 한양이엔지, '초전도체 개발' 퀀텀에너지 연구소 지분 투자 부각↑",0
50,美 신용등급 강등에...亞 증시 '장대비',0
51,"한화운용, 'ARIRANG K방산Fn ETF' 순자산 500억 돌파",0
52,"뉴욕증시, 혼조세 마감...테슬라·애플·엔비디아 하락",0
53,시총 상위기업 지분율 늘린 외국인… 방산·건설주 집중 투자,0
54,"?글로벌 IPO 시장, 신흥국 위주로 기지개 …""韓 빅딜 기대""",0
55,"넥센타이어, 목표주가 0.95만→1.2만-하나",0
56,"2차전지 쏠림으로 불안한 코스피, 美 '기침'에 '몸살' [美 신용등급 12년만에 강등]",0
57,2차전지 순환매 장세 열리나...제2의 에코프로 주목,0
58,"미, 외국인 주택 구입 사상최저",0
59,"시총 상위기업 60%, 외국인 지분율 늘어났다",0
60,'마름' 추출물서 어류 출혈성 패혈증 바이러스 억제 효능 발견,0
61,"[fn마켓워치] 메릴린치, 국내 아리랑본드 발행 재개…3년 5개월만",0
62,"""엎친 데 덮쳤다""..美 신용등급 강등에 증시 우르르 [fn마감시황]",0
63,"SK증권 ""유비벨록스 최대실적 계속 경신..지금이 매수 적기""",0
64,"한화증권, 카카오뱅크에 매도 의견...담보대출 증가로 NIM 하락",0
65,맛있고 예쁜 ‘가성비 한국 케이크’ 통했다,0
66,"""하반기엔 우량채권 투자 유리"" KB금융, 고객들에 투자전략 제시",0
67,美 국가신용등급 강등...외환시장 주시하는 정부,0
68,"미 노동시장, 탄탄한 가운데 둔화세 재확인",0
69,"넥센타이어, 2·4분기 깜짝 호실적... 실적 신뢰도 회복-유진",0
70,파리바게뜨 미국시장 성공비결은 '홀케이크',0
71,"폴라리스오피스, '네이버 AI와 협업' 기대... 자사 AI 오피스 8월 출시-밸류파인더",0
72,"롯데관광개발, 카지노 손익분기점 넘었다-SK",0
73,김익래 친형도 폭락 전 주식 150억 매도,0
74,"하나머티리얼즈, '포커스링' 수요 회복 전망-퀀트케이",0
75,"콴텍, 하나증권과 PB 플랫폼 만든다",0
76,"[속보]  피치, 미 신용등급 강등",0
77,"우리금융캐피탈, 한국형 녹색채권 800억 발행",0
78,"오스템임플란트, 11일까지 정리매매",0
79,"메릴린치, 3년5개월만에 아리랑본드 발행 재개",0
80,미 재정시한 폭탄 터지나,0
81,"미 신용등급 강등에 전세계 시장 폭락...전문가들 ""일시충격 불과""",0
82,이번엔 초전도체…테마주가 뒤흔드는 증시 ['상온 초전도체' 논란],0
83,트뤼도 캐나다 총리 부부 별거 들어가,0
84,"[fn마감시황] 코스피, 외인·기관 팔자에 하락...코스닥은 상승",0
85,[기자수첩] 기업이 '신흥국 전문가 사관학교' 되길,0
86,저평가 카카오株 반등하나...호실적에 '방긋',0
87,"[fn오전시황] 코스피, 2610선에서 등락...개인 '사자'",0
88,"카카오게임즈, 4분기째 쇼크..목표주가 3.6만→3.3만-대신",0
89,"""코GPT 2.0 일정 연기 없어‥다양한 사이즈 모델도 테스트 중"" [카카오 컨콜]",0
90,영국 기준금리 0.25%p 인상... 年 5.25% 15년 만에 최고,0
91,"화장품 빅2, ‘비중국’ 매출에 주가 희비",0
92,‘中 마스크팩 사업 호황’ 에스디생명공학 매물로,0
93,"[특징주] 시지트로닉스, 코스닥 상장 첫날 보합세... '오버행 우려'",0
94,7월 수입차 판매 주춤…신규등록 1위는 BMW,0
95,"에코프로비엠, 700억원 교환사채 대기… 매도폭탄 쏟아지나",0
96,"[특징주]셀루메드, 코로나 재유행 우려에↑...정부 추진 ‘백신기업 협의체’ 합류 부각",0
97,[특징주] 서남·덕성 이틀 연속 '上'...초전도체주 강세,0
98,"뉴욕증시, 미 등급 강등 충격에 나스닥 2% 급락...엔비디아 5%↓",0
99,반등나선 '아모레' vs 지지부진 'LG생활건강'... 화장품 '빅2' 엇갈린 주가,0
100,주식투자대회에서도...2차전지株가 승리 이끌어,0
101,허리띠 졸라매는 정부… 내년 지출 증가율 3%대로 낮출듯 [세수·소비 모두 안갯속],0
102,[fn마켓워치] 마스크팩 '에스디생명공학' 매물로,0
103,"삼성액티브운용, 고령화·기후위기·기술변화 ETF 브랜드 ‘KoAct’ 출시",0
104,"엔케이맥스, 세계 최고 암 학회 연이어 채택…올해만 2번째",0
105,"테라사이언스 ""신안 압해도 리튬추출 지질연구원 최종보고서 공개""",0
106,MZ 위스키가 현대미술을 만났을 때,0
107,"SKT, 대한체육회 후원 시작…항저우 아시안게임 응원전 시동",0
108,"롯데관광개발, 카지노 월 순매출 200억 돌파..SK證 ""손익분기점 넘겨""",0
109,"[컨콜] 엘앤에프 ""코스피 이전 매우 긍정적, 곧 작업 시작""",0
110,"""'유동원 성공투자 글로벌 적립식 랩'으로 해외 투자하세요""",0
111,"한 총리, 여가부 장관에 ""잼버리 현장 지키며 안전 확보하라""",0
112,"에스엠, 목표주가 14.5만→16.5만-하나?",0
113,"폭스콘, 인도에 6억달러 아이폰·반도체 장비 설비 투자",0
114,"미래에셋, ‘TIGER 2차전지소재Fn ETF’ 순자산 5000억원 돌파",0
115,"삼성액티브운용, ETF 브랜드 KoAct 출시",0
116,"니제르 쿠데타 세력, 침공 위협에도 퇴진 거부...서방 탈출 시작",0
117,尹대통령 홍보부스 방문 '리튬이온 국산화' 노력 격려한 상장사는?,0
118,감산·美 침체 가능성 떨어지자 유가 반등... 시작에 불과?,0
119,"[공시] 케이카, 주당 190원 현금배당 결정",0
120,"뉴욕증시, 미 신용등급 강등 여파 속 하락 마감...반도체·전기차는 강세",0
121,"하나證, 에코프로 목표주가 올렸지만 투자 의견 '매도'",0
122,"[속보] 뉴욕증시, 미 신용등급 강등 여진에 약보합 마감",0
123,"SK증권 ""심텍, 3분기 흑자전환 전망"" 목표가 상향",0
124,"""피치의 美 신용등급 강등, 시장 영향 제한적""",0
125,"카카오, 하반기에 광고·콘텐츠 매출 증가한다-유안타증권",0
126,"[특징주] 네이버, 분기 최대 영업 실적에... 장 초반 강세",0
127,"'3일 천하' 초전도체株, 검증위 반박에 동반 급락",0
128,"[특징주] 엠아이큐브솔루션, 상장 첫날 공모가 대비 216%↑",0
129,"컬러레이, 글로벌 고객사 순례 ""협력강화 및 공동발전 도모""",0
130,"""글로벌 카메라 렌즈株 긍정적""…4차 산업혁명의 '눈'",0
131,농협중앙회 새만금 잼버리에 얼음물 등 5억상당 물품지원,0
132,"라이트론, 국내 몰리브덴광산 매입한다...""지질탐사기관 2곳에 실사 발주""",0
133,"현대캐피탈, 112억원 규모 자사주 매입",0
134,"KT&G,  소셜벤처 스타트업 투자 유치 지원",0
135,"정부, 금강·영산강 5개 보 유지한다",0
136,"스페셜포스, 6년만에 돌아온 '오프라인 썸머 토너먼트 대회' 눈길",0
